movieId,title,genres
1,Orbit Run,Adventure|Sci-Fi
2,Red Planet,Drama|Sci-Fi
3,Tomorrow Station,Sci-Fi|Thriller
4,Laugh Track,Comedy
5,Weekend Mixup,Comedy|Romance
6,Office Escape,Comedy
7,Quiet River,Drama
8,Last Letter,Drama|Romance
9,City Lights Again,Drama
10,Hidden Trail,Adventure|Mystery
11,Summit Road,Action|Adventure
12,Jungle Signal,Adventure|Mystery
13,Heartlines,Romance
14,Summer Promise,Comedy|Romance
15,Night Detective,Mystery|Thriller
16,Glass Horizon,Drama|Mystery
17,Nova Harbor,Sci-Fi|Adventure
18,The Final Rehearsal,Comedy|Drama
19,Signal Beyond,Sci-Fi|Mystery
20,Paper Kingdom,Drama|Romance
21,Wild Circuit,Action|Sci-Fi
22,Midnight Recipe,Comedy|Romance
23,Grey Lantern,Mystery|Thriller
24,Skyline Loop,Adventure|Comedy
25,Autumn Postcard,Drama|Romance
26,Tidal Code,Thriller|Sci-Fi
27,Bright Side Street,Comedy
28,Mosaic Forest,Adventure|Drama
29,Parallel Weekend,Comedy|Sci-Fi
30,Last Train Home,Drama|Thriller
